"AGE";"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"UNIT_MEASURE";"CONF_STATUS";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1992;26
"Y25T34";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2018;102
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1993;23
"Y25T34";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2019;99
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1992;37
"Y25T34";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2020;97
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1993;32
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1994;22
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1992;51
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1992;39
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1992;42
"Y25T34";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2018;115
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1994;30
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1993;47
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1992;52
"Y25T34";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2019;114
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1995;20
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1992;40
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1993;38
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1993;34
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1993;48
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1992;32
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1994;44
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1996;20
"Y25T34";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2020;109
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1995;29
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1994;32
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1994;38
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1993;37
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1993;28
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1994;48
"Y25T34";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2018;126
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1995;44
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1995;47
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1997;19
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1994;33
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1996;28
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1995;36
"Y25T34";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2019;119
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1995;28
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1994;29
"Y25T34";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2020;120
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1995;32
"Y15T24";"FERIND";"A";"35";"DEP";"PT";"F";"0";"A";"D";"0";1998;19
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1997;27
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1995;29
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1996;35
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1996;46
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1996;27
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1997;49
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1997;44
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1998;27
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1997;32
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1996;29
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1996;30
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1997;25
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";1999;27
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1998;44
"Y25T34";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2018;124
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1998;38
"Y25T34";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2019;124
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1997;28
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";2001;30
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1998;46
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1997;31
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1998;26
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";1999;45
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1998;28
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";1999;36
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";2002;27
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";1999;48
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";1999;29
"Y25T34";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2020;121
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";1999;31
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";2003;26
"Y15T24";"FERIND";"A";"16";"DEP";"PT";"F";"0";"A";"D";"0";2000;43
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";2000;50
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";2000;34
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";2000;45
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1998;30
"Y15T24";"FERIND";"A";"06";"DEP";"PT";"F";"0";"A";"D";"0";2004;27
"Y15T24";"FERIND";"A";"27";"DEP";"PT";"F";"0";"A";"D";"0";2001;47
"Y15T24";"FERIND";"A";"95";"DEP";"PT";"F";"0";"A";"D";"0";1999;33
"Y15T24";"FERIND";"A";"65";"DEP";"PT";"F";"0";"A";"D";"0";2000;32
"Y15T24";"FERIND";"A";"55";"DEP";"PT";"F";"0";"A";"D";"0";2001;52
"Y15T24";"FERIND";"A";"85";"DEP";"PT";"F";"0";"A";"D";"0";2001;32
